maingroup,mg_def
F02M57,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Fuel-injectors combined or associated with other devices"
F02M59,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Pumps specially adapted for fuel-injection and not provided for in groups F02M39/00-F02M57/00, "
F02M61,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Fuel-injectors not provided for in groups F02M39/00-F02M57/00 or F02M67/00"
F02M63,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Other fuel-injection apparatus having pertinent characteristics not provided for in groups F02M39/00-F02M57/00 or F02M67/00"
F02M65,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Testing fuel-injection apparatus, e.g. testing injection timing "
F02M67,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Apparatus in which fuel-injection is effected by means of high-pressure gas, the gas carrying the fuel into working cylinders of the engine, e.g. air-injection type "
F02M69,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Low-pressure fuel-injection apparatus "
F02M71,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Combinations of carburettors and low-pressure fuel-injection apparatus "
F02M99,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Subject matter not provided for in other groups of this subclass"
F02M2200,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Details of fuel-injection apparatus, not otherwise provided for"
F02M2547,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Special features for fuel-injection valves actuated by fluid pressure"
F02M2700,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF  - Supplying, feeding or preparing air, fuel, fuel air mixtures or auxiliary fluids for a combustion engine"
F02N1,STARTING OF COMBUSTION ENGINES  - Starting apparatus having hand cranks 
F02N3,STARTING OF COMBUSTION ENGINES  - Other muscle-operated starting apparatus 
F02N5,STARTING OF COMBUSTION ENGINES  - Starting apparatus having mechanical power storage
F02N7,STARTING OF COMBUSTION ENGINES  - Starting apparatus having fluid-driven auxiliary engines or apparatus
F02N9,STARTING OF COMBUSTION ENGINES  - Starting of engines by supplying auxiliary pressure fluid to their working chambers
F02N11,STARTING OF COMBUSTION ENGINES  - Starting of engines by means of electric motors 
F02N13,"STARTING OF COMBUSTION ENGINES  - Starting of engines, or driving of starting apparatus by use of explosives, e.g. stored in cartridges"
F02N15,STARTING OF COMBUSTION ENGINES  - Other power-operated starting apparatus
F02N19,"STARTING OF COMBUSTION ENGINES  - Starting aids for combustion engines, not otherwise provided for"
F02N99,STARTING OF COMBUSTION ENGINES  - Subject matter not provided for in other groups of this subclass
F02N2200,STARTING OF COMBUSTION ENGINES  - Parameters used for control of starting apparatus
F02N2250,STARTING OF COMBUSTION ENGINES  - Problems related to engine starting or engine's starting apparatus
F02N2300,STARTING OF COMBUSTION ENGINES  - Control related aspects of engine starting
F02P1,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Installations having electric ignition energy generated by magneto- or dynamo- electric generators without subsequent storage "
F02P3,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Other installations"
F02P5,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Advancing or retarding ignition"
F02P7,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Arrangements of distributors, circuit-makers or -breakers, "
F02P9,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Electric spark ignition control, not otherwise provided for"
F02P11,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Safety means for electric spark ignition, not otherwise provided for"
F02P13,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Sparking plugs structurally combined with other parts of internal-combustion engines "
F02P15,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Electric spark ignition having characteristics not provided for in, or of interest apart from, groups F02P1/00-F02P13/00 "
F02P17,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Testing of ignition installations, e.g. in combination with adjusting "
F02P19,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Incandescent ignition, e.g. during starting of internal combustion engines"
F02P21,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Direct use of flames or burners for ignition"
F02P23,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES - Other ignition"
F02W2746,INDEXING SCHEME RELATING TO TURBINES - Indexing scheme associated with former IdT class 46F
F03B1,"MACHINES OR ENGINES FOR LIQUIDS  - Engines of impulse type, i.e. turbines with jets of high-velocity liquid impinging on blades or like rotors, e.g. Pelton wheels"
F03B3,MACHINES OR ENGINES FOR LIQUIDS  - Machines or engines of reaction type
F03B5,"MACHINES OR ENGINES FOR LIQUIDS  - Machines or engines characterised by non-bladed rotors, e.g. serrated, using friction"
F03B7,MACHINES OR ENGINES FOR LIQUIDS  - Water wheels 
F03B9,MACHINES OR ENGINES FOR LIQUIDS  - Endless-chain machines or engines
F03B11,"MACHINES OR ENGINES FOR LIQUIDS  - Parts or details not provided for in, or of interest apart from, the preceding groups "
F03B13,MACHINES OR ENGINES FOR LIQUIDS  - Adaptations of machines or engines for special use
F03B15,MACHINES OR ENGINES FOR LIQUIDS  - Controlling 
F03B17,MACHINES OR ENGINES FOR LIQUIDS  - Other machines or engines
F03C1,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS  - Reciprocating-piston liquid engines
F03C2,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS  - Rotary-piston engines 
F03C4,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS  - Oscillating-piston engines
F03C7,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS  - Engines of flexible-wall type
F03C99,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS  - Subject matter not provided for in other groups of this subclass
F03D1,WIND MOTORS - Wind motors with rotation axis substantially in wind direction 
F03D3,WIND MOTORS - Wind motors with rotation axis substantially at right-angles to wind direction 
F03D5,WIND MOTORS - Other wind motors 
F03D7,WIND MOTORS - Controlling wind motors
F03D9,WIND MOTORS - Adaptations of wind motors for special use
F03D13,"WIND MOTORS - Assembly, mounting or commissioning of wind motors"
F03D15,WIND MOTORS - Transmission of mechanical power
F03D17,"WIND MOTORS - Monitoring or testing of wind motors, e.g. diagnostics "
F03D80,"WIND MOTORS - Details, components or accessories not provided for in groups F03D1/00 - F03D17/00"
F03G1,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Spring-motor "
F03G3,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Other motors, e.g. gravity or inertia motors "
F03G5,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Devices for producing mechanical power from muscle energy "
F03G6,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Devices for producing mechanical power from solar energy "
F03G7,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Mechanical-power-producing mechanisms, not otherwise provided for or using energy sources not otherwise provided for "
F03G2730,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS - Motors driven by springs, weights or manual power"
F03H1,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR  - Using plasma to produce a reactive propulsive thrust "
F03H3,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR  - Use of photons to produce a reactive propulsive thrust"
F03H99,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR  - Subject matter not provided for in other groups of this subclass"
F04B1,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Multi-cylinder machines or pumps characterised by number or arrangements of cylinders 
F04B3,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Machines or pumps with pistons coacting within one cylinder, e.g. multi-stage"
F04B5,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Machines or pumps with differential surface pistons
F04B7,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Piston machines or pumps characterised by having positively-driven valving 
F04B9,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Piston machines or pumps characterised by the driving or driven means to or from their working members
F04B11,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Equalisation of pulses, e.g. by use of air vessels"
F04B13,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps specially modified to deliver fixed or variable measured quantities 
F04B15,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps adapted to handle specific fluids, e.g. by selection of specific materials for pumps or pump parts"
F04B17,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps characterised by combination with, or adaptation to, specific driving engines or motors"
F04B19,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Machines or pumps having pertinent characteristics not provided for in, or of interest apart from, groups F04B1/00-F04B17/00"
F04B23,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumping installations or systems 
F04B25,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Multi-stage pumps
F04B27,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Multi-cylinder pumps characterised by number or arrangement of cylinders 
F04B29,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Other pumps with movable, e.g. rotatable cylinders"
F04B31,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Free-piston pumps
F04B33,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps actuated by muscle power, e.g. for inflating"
F04B35,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Piston pumps characterised by the driving means to their working members, or by combination with, or adaptation to, specific driving engines or motors, not otherwise provided for "
F04B37,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps having pertinent characteristics not provided for in, or of interest apart from, groups F04B25/00-F04B35/00"
F04B39,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Component parts, details, or accessories, of pumps or pumping systems, not otherwise provided for in, or of interest apart from, groups F04B25/00-F04B37/00 "
F04B41,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumping installations or systems 
F04B43,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Machines, pumps, or pumping installations having flexible working members "
F04B45,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps or pumping installations having flexible working members and specially adapted for elastic fluids
F04B47,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pumps or pumping installation specially adapted for raising fluids from great depths, e.g. well pumps "
F04B49,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Control 
F04B51,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Testing machines, pumps, or pumping installations"
F04B53,"POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Component parts, details or accessories not provided for in, or of interest apart from, groups F04B1/00-F04B23/00 or F04B39/00-F04B47/00"
F04B2201,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Pump parameters
F04B2203,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Motor parameters
F04B2205,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - Fluid parameters
F04B2207,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS - External parameters
F04C2,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston machines or pumps "
F04C3,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston machines or pumps, with non-parallel axes of movement of co-operating members, e.g. of screw type "
F04C5,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston machines or pumps with the working-chamber walls at least partly resiliently deformable "
F04C7,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston machines or pumps with fluid ring or the like "
F04C9,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Oscillating-piston machines or pumps "
F04C11,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Combinations of two or more machines or pumps, each being of rotary-piston or oscillating-piston type "
F04C13,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Adaptations of machines or pumps for special use, e.g. for extremely high pressures "
F04C14,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Control of, monitoring of, or safety arrangements for, machines, pumps or pumping installations "
F04C15,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Component parts, details or accessories of machines, pumps or pumping installations, not provided for in groups F04C2/00-F04C14/00 "
F04C18,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston pumps specially adapted for elastic fluids "
F04C19,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Rotary-piston pumps with fluid ring or the like, specially adapted for elastic fluids"
F04C21,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Oscillating-piston pumps specially adapted for elastic fluids"
F04C23,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Combinations of two or more pumps, each being of rotary-piston or oscillating-piston type, specially adapted for elastic fluids"
F04C25,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Adaptations of pumps for special use of pumps for elastic fluids"
F04C27,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Sealing arrangements in rotary-piston pumps specially adapted for elastic fluids"
F04C28,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Control of, monitoring of, or safety arrangements for, pumps or pumping installations specially adapted for elastic fluids"
F04C29,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Component parts, details or accessories of pumps or pumping installations, not provided for in groups F04C18/00-F04C28/00"
F04C2210,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Fluid"
F04C2220,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Application"
F04C2230,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Manufacture"
F04C2240,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Components"
F04C2250,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Geometry"
F04C2270,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Control"
F04C2280,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS  - Arrangements for preventing or removing deposits or corrosion"
F04D1,"NON-POSITIVE DISPLACEMENT PUMPS - Radial-flow pumps, e.g. centrifugal pumps"
F04D3,NON-POSITIVE DISPLACEMENT PUMPS - Axial-flow pumps 
F04D5,NON-POSITIVE DISPLACEMENT PUMPS - Pumps with circumferential or transverse flow 
F04D7,"NON-POSITIVE DISPLACEMENT PUMPS - Pumps adapted for handling specific fluids, e.g. by selection of specific materials for pumps or pump parts "
F04D9,NON-POSITIVE DISPLACEMENT PUMPS - Priming
F04D11,NON-POSITIVE DISPLACEMENT PUMPS - Other rotary non-positive-displacement pumps 
F04D13,NON-POSITIVE DISPLACEMENT PUMPS - Pumping installations or systems 
F04D15,"NON-POSITIVE DISPLACEMENT PUMPS - Control, e.g. regulation, of pumps, pumping installations or systems"
F04D17,"NON-POSITIVE DISPLACEMENT PUMPS - Radial-flow pumps, e.g. centrifugal pumps"
F04D19,NON-POSITIVE DISPLACEMENT PUMPS - Axial-flow pumps 
F04D21,NON-POSITIVE DISPLACEMENT PUMPS - Pump involving supersonic speed of pumped fluids
F04D23,NON-POSITIVE DISPLACEMENT PUMPS - Other rotary non-positive-displacement pumps 
F04D25,NON-POSITIVE DISPLACEMENT PUMPS - Pumping installations or systems 
F04D27,"NON-POSITIVE DISPLACEMENT PUMPS - Control, e.g. regulation, of pumps, pumping installations or systems"
F04D29,"NON-POSITIVE DISPLACEMENT PUMPS - Details, component parts, or accessories "
F04D31,NON-POSITIVE DISPLACEMENT PUMPS - Pumping liquids and elastic fluids at the same time
F04D33,"NON-POSITIVE DISPLACEMENT PUMPS - Non-positive-displacement pumps with other than pure rotation, e.g. of oscillating type "
F04D35,"NON-POSITIVE DISPLACEMENT PUMPS - Pumps producing waves in liquids, i.e. wave-producers "
F04F1,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Pumps using positively or negatively pressurised fluid medium acting directly on the liquid to be pumped 
F04F3,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Pumps using negative pressure acting directly on the liquid to be pumped 
F04F5,"PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Jet pumps, i.e. devices in which flow is induced by pressure drop caused by velocity of another fluid flow "
F04F7,"PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Pumps displacing fluids by using inertia thereof, e.g. by generating vibration therein"
F04F9,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Diffusion pumps
F04F10,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Siphons
F04F13,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Pressure exchangers
F04F99,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED  - Subject matter not provided for in other groups of this subclass
F05B2200,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Mathematical features"
F05B2210,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Working fluid"
F05B2220,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Application"
F05B2230,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Manufacture"
F05B2240,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Components"
F05B2250,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Geometry"
F05B2260,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Function"
F05B2270,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Control"
F05B2280,"INDEXING SCHEME RELATING TO MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS, TO NON-POSITIVE DISPLACEMENT PUMPS, AND TO GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY - Materials"
F05C2201,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Metals"
F05C2203,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Non-metallic inorganic materials"
F05C2211,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Inorganic materials not otherwise provided for"
F05C2221,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Leather"
F05C2223,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Cellulosic materials, e.g. wood"
F05C2225,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Synthetic polymers, e.g. plastics"
F05C2231,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Organic materials not otherwise provided for"
F05C2251,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Material properties"
F05C2253,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES - Other material characteristics"
F05D2200,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Mathematical features"
F05D2210,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Working fluids"
F05D2220,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Application"
F05D2230,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Manufacture"
F05D2240,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Components"
F05D2250,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Geometry"
F05D2260,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Function"
F05D2270,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Control"
F05D2300,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS - Materials"
F15B1,SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Installations or systems with accumulators
F15B3,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Intensifiers or fluid-pressure converters, e.g. pressure exchangers"
F15B5,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Transducers converting variations of physical quantities, e.g. expressed by variations in positions of members, into fluid-pressure variations or vice versa"
F15B7,SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Systems in which the movement produced is definitely related to the output of a volumetric pump
F15B9,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Servomotors with follow-up action, "
F15B11,SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Servomotor systems without provision for follow-up action; 
F15B13,SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL - Details of servomotor systems 
