maingroup,mg_def
A01N3,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Preservation of plants or parts thereof, e.g. inhibiting evaporation, improvement of the appearance of leaves "
A01N25,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators, characterised by their forms, or by their non-active ingredients or by their methods of application, "
A01N27,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing hydrocarbons"
A01N29,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing halogenated hydrocarbons"
A01N31,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic oxygen or sulfur compounds"
A01N33,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic nitrogen compounds"
A01N35,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having two bonds to hetero atoms with at the most one bond to halogen, e.g. aldehyde radical"
A01N37,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids "
A01N39,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulator containing aryloxy- or arylthio-aliphatic or cycloaliphatic compounds, containing the group  or , e.g. phenoxyethylamine, phenylthio-acetonitrile, phenoxyacetone"
A01N41,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a sulfur atom bound to a hetero atom"
A01N43,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds "
A01N45,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators, containing compounds having three or more carbocyclic rings condensed among themselves, at least one ring not being a six-membered ring "
A01N47,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom not being member of a ring and having no bond to a carbon or hydrogen atom, e.g. derivatives of carbonic acid "
A01N49,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators, containing compounds containing the group , wherein m+n>=1, both X together may also mean -Y- or a direct carbon-to-carbon bond, and the carbon atoms marked with an asterisk are not part of any ring system other than that which may be formed be the atoms X, the carbon atoms in square brackets being part of any acyclic or cyclic structure, or the group , wherein A means a carbon atom or Y, n>=0, and not more than one of these carbon atoms being a member of the same ring system, e.g. juvenile insect hormones or mimics thereof "
A01N51,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds having the sequences of atoms O-N-S, X-O-S, N-N-S, O-N-N or O-halogen, regardless of the number of bonds each atom has and with no atom of these sequences forming part of a heterocyclic ring"
A01N53,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing cyclopropane carboxylic acids or derivatives thereof"
A01N55,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators, containing organic compounds containing elements other than carbon, hydrogen, halogen, oxygen, nitrogen and sulfur "
A01N57,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing organic phosphorus compounds"
A01N59,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing elements or inorganic compounds"
A01N61,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing substances of unknown or undetermined composition, e.g. substances characterised only by the mode of action"
A01N63,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing micro-organisms, viruses, microbial fungi, enzymes, fermentates or substances produced by, or extracted from, micro-organisms or animal material "
A01N65,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Biocides, pest repellants or attractants, or plant growth regulators containing material from algae, lichens, bryophyta, multi-cellular fungi or plants, or extracts thereof "
A01N2300,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF - Combinations or mixtures of active ingredients covered by classes A01N27/00-A01N65/48 with other active or formulation relevant ingredients, e.g. specific carrier materials or surfactants, covered by classes A01N25/00-A01N65/48"
A21B1,BAKERS' OVENS - Bakers' ovens
A21B2,BAKERS' OVENS - Baking apparatus employing high-frequency or infra-red heating
A21B3,BAKERS' OVENS - Parts or accessories of ovens
A21B5,BAKERS' OVENS - Baking apparatus for special goods
A21B7,BAKERS' OVENS - Baking plants
A21C1,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Mixing or kneading machines for the preparation of dough 
A21C3,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Machines or apparatus for shaping batches of dough before sub-division
A21C5,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Dough-dividing machines
A21C7,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Machines which homogenise the subdivided dough by working other than by kneading
A21C9,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Other apparatus for handling dough or dough pieces
A21C11,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Other machines for forming the dough into its final shape before cooking or baking
